group,features_removed,features_kept,R2,MSE,RMSE
All features,0,52,0.5697716596249682,9.008163540820611e-08,0.00030013602817423654
No volatility estimators,8,44,0.557207737536702,9.27122818409021e-08,0.0003044869157137989
No rolling stats,24,28,0.5564744970657705,9.286580845588851e-08,0.00030473891851204126
No lag features,10,42,0.5692860097847215,9.018332125206989e-08,0.0003003053799918841
No volume features,5,47,0.5689136309947292,9.026129029140514e-08,0.0003004351682000713
No time encoding,2,50,0.5673072644996446,9.059763289685978e-08,0.00030099440675344745
No ATR/Bollinger,2,50,0.569967891484173,9.004054818745036e-08,0.00030006757270230046
Only lag features,42,10,0.4622410381771933,1.1259650327588887e-07,0.00033555402437743
Only rolling stats,28,24,0.5556260445333365,9.304345828625828e-08,0.0003050302579847748
